State,County,PCT_REDUCED_LUNCH10,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS10,FOODINSEC_10_12,PCT_OBESE_CHILD11,PCT_LACCESS_POP10,PCT_LACCESS_CHILD10,PCT_LACCESS_SENIORS10,PCT_LOCLFARM07,FMRKT13,PCT_FMRKT_SNAP13,PCT_FMRKT_WIC13,FMRKT_FRVEG13,PCT_FRMKT_FRVEG13,PCT_FRMKT_ANMLPROD13,FOODHUB12,FARM_TO_SCHOOL,SODATAX_STORES11,GROC12,SNAPS12,WICS12,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_65OLDER10,PCT_18YOUNGER10,POVRATE10,CHILDPOVRATE10,SNAP_PART_RATE10
VA,Northumberland,6.987788331,13.4,29.6,9.2,16.3,7.361056634,0.80024891,2.791177337,8.5,1,0,0,1,100,100,1,0,1.5,4,13.33333333,4,70.056772,25.190592,3.098135,0.291971,30.113544,16.390916,14.4,28.2,75
VA,Nottoway,6.391137622,11.7,36.1,9.2,14.6,50.31483237,9.642879152,7.351779907,6.1,1,0,0,1,100,100,0,0,1.5,5,18.25,3,55.50369,38.97685,3.841544,0.315398,17.050401,20.582855,20.8,27.9,75
VA,Orange,7.602451168,11.8,32.6,9.2,12.4,22.23013699,4.81554069,5.239692209,6,2,0,0,0,0,0,0,1,1.5,5,20.83333333,3,80.741316,12.562349,3.401929,0.716824,18.108778,22.884621,10.7,14.8,75
VA,Page,7.465512578,10.5,30.9,9.2,15.8,2.878948617,0.50523286,0.716975846,4.9,1,0,0,0,0,0,0,0,1.5,6,17.91666667,5,95.129357,1.896681,1.551452,0.295317,17.669079,21.599701,15.7,22.7,75
VA,Patrick,7.857997607,12.2,29.2,9.2,17.9,4.904971433,1.051177715,0.931797759,3.6,2,50,0,1,50,50,0,0,1.5,3,17.58333333,3,90.210925,5.868037,2.401298,0.22715,21.492699,19.286101,18.7,28.1,75
VA,Pittsylvania,8.003888529,12.6,30.9,9.2,15.9,15.41612383,3.350796057,2.529839299,5.3,1,0,0,1,100,100,0,1,1.5,4,54,4,74.402419,21.986899,2.09744,0.277139,17.188927,21.234214,15.9,22.4,75
VA,Powhatan,3.55987055,10.2,29.2,9.2,19.5,9.432053168,1.519447183,0.795047089,8.3,1,0,0,1,100,100,0,0,1.5,3,7,2,82.831776,13.542038,1.789917,0.46709,12.1479,23.094202,7.1,9.2,75
VA,Prince Edward,7.918463348,10.1,33.8,9.2,16.8,15.01843106,2.823265,2.66213763,1.1,1,0,0,1,100,100,0,0,1.5,4,21.91666667,4,62.238959,32.814105,2.246662,0.868709,13.912188,17.361349,22.8,27,75
VA,Prince George,10.54170249,12.6,36,9.2,14.5,28.67266586,6.081298176,1.416831199,4.3,1,100,0,1,100,100,0,0,1.5,3,16.75,3,58.284115,31.210637,5.760672,1.455563,10.390483,22.538838,9.7,12.7,75
VA,Prince William,7.007383451,7.5,28.2,9.2,21.1,20.58026885,6.090602219,1.168047509,11,6,0,0,4,66.66666667,66.66666667,0,1,1.5,72,169,32,48.670405,19.525276,20.263581,7.459167,6.771111,28.89911,6.1,8.5,75
